emoji,fr_signification,unicode,en_signification
🥇,1ère médaille lieu ,\U0001f947,1st place medal
🥈, médaille 2e place ,\U0001f948,2nd place medal
🥉, médaille 3ème place ,\U0001f949,3rd place medal
🆎, ab ,\U0001f18e,ab
🏧, atm ,\U0001f3e7,atm
🅰, a ,\U0001f170,a
🇦🇫, drapeau pour l'Afghanistan ,\U0001f1e6\U0001f1eb,flag for Afghanistan
🇦🇱, drapeau pour l'Albanie ,\U0001f1e6\U0001f1f1,flag for Albania
🇩🇿, drapeau pour l'Algérie ,\U0001f1e9\U0001f1ff,flag for Algeria
🇦🇸, drapeau pour les Samoa américaines ,\U0001f1e6\U0001f1f8,flag for American Samoa
🇦🇩, drapeau pour Andorre ,\U0001f1e6\U0001f1e9,flag for Andorra
🇦🇴, drapeau pour l'Angola ,\U0001f1e6\U0001f1f4,flag for Angola
🇦🇮, drapeau pour Anguilla ,\U0001f1e6\U0001f1ee,flag for Anguilla
🇦🇶, drapeau pour l'Antarctique ,\U0001f1e6\U0001f1f6,flag for Antarctica
🇦🇬, drapeau pour Antigua-et-Barbuda ,\U0001f1e6\U0001f1ec,flag for Antigua & Barbuda
♒, verseau ,\u2652,aquarius
🇦🇷, drapeau pour l'Argentine ,\U0001f1e6\U0001f1f7,flag for Argentina
♈, aries ,\u2648,aries
🇦🇲, drapeau Arménie ,\U0001f1e6\U0001f1f2,flag for Armenia
🇦🇼, drapeau pour Aruba ,\U0001f1e6\U0001f1fc,flag for Aruba
🇦🇨, drapeau pour Ascension ,\U0001f1e6\U0001f1e8,flag for Ascension Island
🇦🇺, drapeau pour l'Australie ,\U0001f1e6\U0001f1fa,flag for Australia
🇦🇹, drapeau pour l'Autriche ,\U0001f1e6\U0001f1f9,flag for Austria
🇦🇿, drapeau pour l'Azerbaïdjan ,\U0001f1e6\U0001f1ff,flag for Azerbaijan
🔙, retour ,\U0001f519,back
🅱, b ,\U0001f171,b
🇧🇸, drapeau pour Bahamas ,\U0001f1e7\U0001f1f8,flag for Bahamas
🇧🇭, drapeau pour Bahreïn ,\U0001f1e7\U0001f1ed,flag for Bahrain
🇧🇩, drapeau pour le Bangladesh ,\U0001f1e7\U0001f1e9,flag for Bangladesh
🇧🇧, drapeau pour la Barbade ,\U0001f1e7\U0001f1e7,flag for Barbados
🇧🇾, drapeau pour le Bélarus ,\U0001f1e7\U0001f1fe,flag for Belarus
🇧🇪, drapeau pour la Belgique ,\U0001f1e7\U0001f1ea,flag for Belgium
🇧🇿, drapeau pour Belize ,\U0001f1e7\U0001f1ff,flag for Belize
🇧🇯, drapeau pour le Bénin ,\U0001f1e7\U0001f1ef,flag for Benin
🇧🇲, drapeau pour Bermudes ,\U0001f1e7\U0001f1f2,flag for Bermuda
🇧🇹, drapeau pour le Bhoutan ,\U0001f1e7\U0001f1f9,flag for Bhutan
🇧🇴, drapeau pour la Bolivie ,\U0001f1e7\U0001f1f4,flag for Bolivia
🇧🇦, drapeau pour la Bosnie-Herzégovine ,\U0001f1e7\U0001f1e6,flag for Bosnia & Herzegovina
🇧🇼, drapeau pour le Botswana ,\U0001f1e7\U0001f1fc,flag for Botswana
🇧🇻, drapeau pour Île Bouvet ,\U0001f1e7\U0001f1fb,flag for Bouvet Island
🇧🇷, drapeau pour le Brésil ,\U0001f1e7\U0001f1f7,flag for Brazil
🇮🇴, drapeau pour Territoire britannique de l'océan Indien ,\U0001f1ee\U0001f1f4,flag for British Indian Ocean Territory
🇻🇬, drapeau pour Îles Vierges britanniques ,\U0001f1fb\U0001f1ec,flag for British Virgin Islands
🇧🇳, drapeau pour Brunei ,\U0001f1e7\U0001f1f3,flag for Brunei
🇧🇬, drapeau pour la Bulgarie ,\U0001f1e7\U0001f1ec,flag for Bulgaria
🇧🇫, drapeau pour le Burkina Faso ,\U0001f1e7\U0001f1eb,flag for Burkina Faso
🇧🇮, drapeau pour le Burundi ,\U0001f1e7\U0001f1ee,flag for Burundi
🆑, cl ,\U0001f191,cl
🆒, fraîche ,\U0001f192,cool
🇰🇭, drapeau pour le Cambodge ,\U0001f1f0\U0001f1ed,flag for Cambodia
🇨🇲, drapeau pour le Cameroun ,\U0001f1e8\U0001f1f2,flag for Cameroon
🇨🇦, drapeau pour le Canada ,\U0001f1e8\U0001f1e6,flag for Canada
🇮🇨, drapeau pour Îles Canaries ,\U0001f1ee\U0001f1e8,flag for Canary Islands
♋, ,\u264b,cancer
🇨🇻, cancer drapeau pour le Cap-Vert ,\U0001f1e8\U0001f1fb,flag for Cape Verde
♑, capricorn ,\u2651,capricorn
🇧🇶, drapeau pour Caraïbes Pays-Bas ,\U0001f1e7\U0001f1f6,flag for Caribbean Netherlands
🇰🇾, drapeau pour Îles Caïmans ,\U0001f1f0\U0001f1fe,flag for Cayman Islands
